REGION,q,h,t
AUNZ,0.664445636,0.731103305,0.742311013
BRA,1.052364899,1.090163308,1.118408275
CAN,0.815377182,0.873782785,0.988472002
CAS,0.887298564,0.932233114,1.002559686
CHN,0.847399306,0.89506829,0.964874409
EEU,1.083373772,1.107959537,1.15501977
EEU-FSU,0.88635832,0.907912403,0.97389743
EFTA,1.206760361,1.222008702,1.237257043
EU12-H,1.024092801,1.042837966,1.05958079
EU12-M,1.064943663,1.184786796,1.205886827
EU15,1.042187891,1.1179624,1.170797575
IDN,0.86118064,0.904319432,0.932251369
IND,0.807870371,0.850529041,0.897514468
JPN,0.911044984,0.940593944,0.985680078
KOR,0.925139464,0.974394884,1.003775478
LAM-L,0.73690493,0.743070515,0.751350184
LAM-M,0.882014166,0.918992572,0.973143856
MEA-H,1.170347201,1.204635788,1.2260843
MEA-M,1.121765371,1.177445542,1.253726335
MEX,0.790487897,0.839659085,0.8857439
NAF,1.169713613,1.18397463,1.205676506
OAS-CPA,0.841573878,0.904541477,0.940559445
OAS-L,0.666415341,0.731063251,0.974061357
OAS-M,0.852907267,0.893160393,0.962588602
PAK,0.961980631,0.986355187,0.997263747
RUS,0.692183842,0.851706602,0.958272741
SAF,1.191693367,1.228395239,1.237885643
SSA-L,1.251642459,1.292879914,1.326111282
SSA-M,1.197799738,1.532856203,1.566040325
TUR,1.099690266,1.14111748,1.244176473
USA,0.639923964,0.752954852,0.858983196
